,Comparison of Desktop Intel® Processors ,,,,,,,,,,Last Revision : 2019.12.2,,,,,,,,,,,,,,,,
,Product Collection,Processor Number,Quarter Launch,Year launch,Lithography (nm),# of Cores,# of Threads,Processor Base Frequency (GHz),Cache (MB),TDP (W),Max Turbo Frequency (GHz),Intel® Turbo Boost Max Technology 3.0 Frequency (GHz),Memory Types,Max # of Memory Channels,Intel® Processor Graphics,Graphics Base Frequency (MHz),Graphics Max Dynamic Frequency (GHz),Sockets Supported,Intel® Turbo Boost Technology ,Intel® vPro™ Platform Eligibility,Intel® Hyper-Threading Technology ,Intel® Virtualization Technology  (VT-x),Enhanced Intel SpeedStep® Technology,Intel® Stable Image Platform Program (SIPP),Intel® Turbo Boost Max Technology 3.0,Intel® AES New Instructions,Intel® Memory Protection Extensions (Intel® MPX)
, X-series ,i9-7920X,Q3,2017,14,12,24,2.90,16.5,140,4.30,4.40,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-7900X,Q2,2017,14,10,20,3.30,13.75,140,4.30,4.50,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i7-7820X,Q2,2017,14,8,16,3.60,11,140,4.30,4.50,DDR4-2666,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i7-7800X,Q2,2017,14,6,12,3.50,8.25,140,4.00,N/A,DDR4-2400,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,No,Yes,No
, X-series ,i7-7740X,Q2,2017,14,4,8,4.30,8,112,4.50,N/A,DDR4-2666,2,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,No,No,No,Yes,No
, X-series ,i5-7640X,Q2,2017,14,4,4,4.00,6,112,4.20,N/A,DDR4-2666,2,N/A,N/A,N/A,FCLGA2066,2.0,No,No,Yes,No,No,No,Yes,No
,7th Gen  ,i3-7350K,Q1,2017,14,2,4,4.20,4,60,N/A,N/A,"DDR4-2133/2400, DDR3L-1333/1600",2, HD  630,350,1.15,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i3-7320,Q1,2017,14,2,4,4.10,4,51,N/A,N/A,"DDR4-2133/2400, DDR3L-1333/1600",2, HD  630,350,1.15,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i3-7300,Q1,2017,14,2,4,4.00,4,51,N/A,N/A,"DDR4-2133/2400, DDR3L-1333/1600",2, HD  630,350,1.15,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i3-7300T,Q1,2017,14,2,4,3.50,4,35,N/A,N/A,"DDR4-2133/2400, DDR3L-1333/1600",2, HD  630,350,1.10,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i3-7101E,Q1,2017,14,2,4,3.90,3,54,N/A,N/A,"DDR3L-1600, DDR4-2400",2, HD  630,350,1.10,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i3-7101TE,Q1,2017,14,2,4,3.40,3,35,N/A,N/A,"DDR3L-1600, DDR4-2400",2, HD  630,350,1.10,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
